# Logfile created on Tue Jul 27 03:19:29 +0000 2010 by logger.rb/22285
I, [2010-07-27T03:19:29.376623 #6901]  INFO -- : GET: https://my.rightscale.com/api/acct/2901/deployments.js?filter[]=nickname=MY50-ec2-west-409582-RightImage_CentOS_5.4_i386_v4.4&
I, [2010-07-27T03:19:29.572222 #6901]  INFO -- : GET: /api/acct/2901/ec2_server_templates/27418.js?
I, [2010-07-27T03:19:29.679223 #6901]  INFO -- : GET: /api/acct/2901/ec2_server_templates/27418/executables.js?
I, [2010-07-27T03:19:30.595741 #6901]  INFO -- : GET: https://my.rightscale.com/api/acct/2901/server_templates.js?
I, [2010-07-27T03:19:32.860650 #6901]  INFO -- : GET: /api/acct/2901/ec2_server_templates/42160/executables.js?
I, [2010-07-27T03:19:33.288432 #6901]  INFO -- : GET: /api/acct/2901/servers/795770.js?
I, [2010-07-27T03:19:33.379778 #6901]  INFO -- : tempserver-MySQL 5.0 EBS v2 (Sprint 19) is stopped
I, [2010-07-27T03:19:33.410349 #6901]  INFO -- : GET: /api/acct/2901/servers/795771.js?
I, [2010-07-27T03:19:33.558062 #6901]  INFO -- : tempserver-MySQL 5.0 EBS v2 (Sprint 19) is stopped
I, [2010-07-27T03:19:33.591430 #6901]  INFO -- : GET: /api/acct/2901/servers/795772.js?
I, [2010-07-27T03:19:33.834626 #6901]  INFO -- : tempserver-MySQL 5.0 EBS v2 (Sprint 19) is stopped
I, [2010-07-27T03:19:33.897627 #6901]  INFO -- : PUT: /api/acct/2901/deployments/51556
I, [2010-07-27T03:19:33.897763 #6901]  INFO -- : 	request body: {"deployment":{"parameters":{"DB_LINEAGE_NAME":"text:testlineage939533"}}}
I, [2010-07-27T03:19:34.812662 #6901]  INFO -- : PUT: /api/acct/2901/servers/795770
I, [2010-07-27T03:19:34.812786 #6901]  INFO -- : 	request body: {"server":{"parameters":{"DB_LINEAGE_NAME":"text:"}}}
I, [2010-07-27T03:19:35.006922 #6901]  INFO -- : PUT: /api/acct/2901/servers/795771
I, [2010-07-27T03:19:35.007044 #6901]  INFO -- : 	request body: {"server":{"parameters":{"DB_LINEAGE_NAME":"text:"}}}
I, [2010-07-27T03:19:35.313625 #6901]  INFO -- : PUT: /api/acct/2901/servers/795772
I, [2010-07-27T03:19:35.313755 #6901]  INFO -- : 	request body: {"server":{"parameters":{"DB_LINEAGE_NAME":"text:"}}}
I, [2010-07-27T03:19:35.547365 #6901]  INFO -- : PUT: /api/acct/2901/deployments/51556
I, [2010-07-27T03:19:35.547488 #6901]  INFO -- : 	request body: {"deployment":{"parameters":{"EBS_STRIPE_COUNT":"text:1"}}}
I, [2010-07-27T03:19:35.906873 #6901]  INFO -- : PUT: /api/acct/2901/deployments/51556
I, [2010-07-27T03:19:35.906990 #6901]  INFO -- : 	request body: {"deployment":{"parameters":{"MASTER_DB_DNSID":"text:5425831"}}}
I, [2010-07-27T03:19:36.095487 #6901]  INFO -- : PUT: /api/acct/2901/deployments/51556
I, [2010-07-27T03:19:36.095605 #6901]  INFO -- : 	request body: {"deployment":{"parameters":{"SLAVE_DB_DNSID":"text:5425832"}}}
I, [2010-07-27T03:19:36.286545 #6901]  INFO -- : PUT: /api/acct/2901/deployments/51556
I, [2010-07-27T03:19:36.286663 #6901]  INFO -- : 	request body: {"deployment":{"parameters":{"SLAVE_DB_DNSNAME":"text:vmonk18-slave.test.rightscale.com"}}}
I, [2010-07-27T03:19:36.497164 #6901]  INFO -- : PUT: /api/acct/2901/deployments/51556
I, [2010-07-27T03:19:36.497304 #6901]  INFO -- : 	request body: {"deployment":{"parameters":{"MASTER_DB_DNSNAME":"text:vmonk18-master.test.rightscale.com"}}}
I, [2010-07-27T03:19:36.728084 #6901]  INFO -- : POST: /api/acct/2901/servers/795770/start
I, [2010-07-27T03:19:40.640327 #6901]  INFO -- : POST: /api/acct/2901/servers/795771/start
I, [2010-07-27T03:19:42.521371 #6901]  INFO -- : POST: /api/acct/2901/servers/795772/start
I, [2010-07-27T03:19:45.689710 #6901]  INFO -- : GET: /api/acct/2901/servers/795770.js?
I, [2010-07-27T03:19:45.791312 #6901]  INFO -- : tempserver-MySQL 5.0 EBS v2 (Sprint 19) is bidding
I, [2010-07-27T03:19:50.801929 #6901]  INFO -- : waiting for server tempserver-MySQL 5.0 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T03:19:50.836698 #6901]  INFO -- : GET: /api/acct/2901/servers/795770.js?
I, [2010-07-27T03:19:56.221934 #6901]  INFO -- : waiting for server tempserver-MySQL 5.0 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T03:19:56.253958 #6901]  INFO -- : GET: /api/acct/2901/servers/795770.js?
